molecule,status,n_qubits,n_electrons,n_operators,raw_depth,transpiled_depth,raw_two_qubit_gates,transpiled_two_qubit_gates,shots,estimated_cost,reference_type,reference_energy,manifest_path,warnings,rejection_reasons
methyl_iodide_cas12,rejected,12,6,21,,,,,4096,0.0,stored_fci,-6889.853479551035,,,7 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
benzene_cas12,rejected,12,6,13,,,,,4096,0.0,stored_fci,-227.94786860093672,,,1 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
phenol_cas12,warning,12,6,2,47,113,38,35,4096,204.08,stored_fci,-301.6581690576164,results/qpu/cepheus_scaling_29_dryrun_v2/manifests/phenol_cas12_sqd_cepheus_manifest.json,very shallow operator sequence may provide inadequate determinant support,
anisole_cas12,rejected,12,6,17,,,,,4096,0.0,stored_fci,-337.70949463921784,,,2 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
toluene_cas12,warning,12,6,1,26,66,20,20,4096,204.08,stored_fci,-266.4940953969434,results/qpu/cepheus_scaling_29_dryrun_v2/manifests/toluene_cas12_sqd_cepheus_manifest.json,very shallow operator sequence may provide inadequate determinant support,
imeph_cas12,rejected,12,6,18,,,,,4096,0.0,stored_fci,-7187.026980076353,,,4 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
iodobenzene_cas12,rejected,12,6,3,,,,,4096,0.0,stored_fci,-7061.103524430529,,very shallow operator sequence may provide inadequate determinant support,tracked energy -7078.149054000 is below same-record FCI reference -7061.103524431
ocresol_cas12,rejected,12,6,2,,,,,4096,0.0,stored_fci,-337.5982294788453,,very shallow operator sequence may provide inadequate determinant support,2 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
diarylethene_frag_cas12,rejected,12,6,3,,,,,4096,0.0,stored_fci,-657.0324564083844,,very shallow operator sequence may provide inadequate determinant support,2 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
hf,rejected,12,10,4,,,,,4096,0.0,stored_fci,-98.59662417998742,,,2 malformed/padded Pauli words (all operators must be explicit 12-character IXYZ strings)
h2o,rejected,14,10,3,,,,,4096,0.0,stored_fci,-74.98966212608191,,very shallow operator sequence may provide inadequate determinant support,3 malformed/padded Pauli words (all operators must be explicit 14-character IXYZ strings)
nh3,warning,16,10,1,26,66,20,20,4096,204.08,stored_fci,-55.496232821082835,results/qpu/cepheus_scaling_29_dryrun_v2/manifests/nh3_sqd_cepheus_manifest.json,very shallow operator sequence may provide inadequate determinant support,
